T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
217.606,242.058,236.268,240.977,245.798,302.595,398.927,516.24,742.961,724.273,331.272,293.842,239.949,269.356,260.982,474.237,217.36,216.321
215.061,236.554,236.228,238.817,239.483,306.501,400.561,453.02,728.496,717.836,297.723,279.741,237.219,263.476,255.112,468.659,221.344,214.636
215.597,235.998,235.65,239.872,242.02,305.149,381.687,419.73,692.239,665.922,278.232,272.271,233.111,266.468,252.089,461.298,220.245,214.02
214.092,236.783,239.074,241.168,241.761,303.466,367.538,390.878,625.687,610.027,265.979,267.245,234.903,266.938,256.763,449.798,218.429,215.329
215.473,237.438,229.885,238.405,236.86,300.162,374.556,363.594,543.611,536.734,250.843,266.321,235.157,263.537,249.4,439.098,227.431,213.994
228.688,236.521,238.831,238.792,236.116,296.196,363.107,350.061,489.2,484.686,247.717,258.964,232.131,267.297,258.284,432.267,224.679,222.319
239.304,238.826,236.327,237.943,241.835,306.544,364.655,343.11,433.969,431.136,240.434,257.344,233.478,267.86,254.543,428.586,228.991,221.761
252.271,240.931,239,240.561,243.248,297.342,359.629,327.014,396.069,399.31,239.398,256.236,232.99,262.097,254.297,421.397,238.727,230.211
253.036,243.541,240.599,240.642,239.991,300.401,351.817,323.1,368.987,373.669,235.447,252.797,234.511,264.125,255.205,423.87,239.539,227.207
283.848,250.369,245.728,242.368,238.569,296.397,347.363,325.033,336.43,341.943,232.949,252.116,226.594,263.834,259.696,420.861,237.456,235.155
306.816,257.152,246.323,243.012,241.773,295.27,347.634,324.774,320.554,329.755,228.423,251.823,230.851,265.524,263.42,429.6,248.138,250.652
315.082,263.225,252.019,248.545,240.691,301.593,345.36,320.565,312.546,315.866,229.919,253.497,231.651,260.786,263.397,435.25,267.658,281.094
350.063,288.343,272.473,246.904,240.56,302.515,350.384,314.982,298.722,307.826,232.37,249.172,237.011,265.416,281.344,480.489,300.718,307.632
392.461,330.17,304.434,265.497,244.473,301.135,349.681,311.526,288.469,298.296,229.102,249.45,234.907,270.558,283.547,499.628,318.261,308.53
422.899,378.032,366.749,318.602,254.537,306.217,344.601,310.244,278.713,291.646,227.845,250.372,227.169,269.857,285.496,490.642,321.112,312.564
421.084,393.618,381.63,364.315,267.143,309.413,341.191,308.492,272.757,287.979,228.464,245.661,231.54,266.977,285.746,461.891,312.096,312.335
432.843,417.629,399.681,385.071,276.368,312.02,340.668,310.742,269.248,273.878,227.115,248.123,231.398,272.516,280.366,445.455,313.635,324.472
436.99,447.521,403.679,409.804,283.492,323.573,339.209,309.577,272.794,273.222,227.921,242.752,236.16,271.375,277.469,426.087,310.725,335.399
436.608,455.345,412.749,409.143,291.291,325.184,338.021,304.758,263.691,267.509,226.928,247.477,232.761,278.515,270.678,415.031,294.388,333.301
442.669,472.189,416.951,418.62,298.093,336.826,341.687,310.492,260.315,264.044,230.951,249.943,237.052,277.331,264.188,406.133,273.03,325.697
447.666,501.193,424.008,443.454,311.81,356.202,338.59,306.012,257.002,265.314,224.789,246.872,235.699,274.43,262.1,392.286,260.649,332.701
468.319,537.8,491.051,500.67,350.545,366.28,334.316,305.406,258.476,260.038,225.247,244.852,236.065,283.836,265.667,400.245,257.271,333.65
478.575,582.15,530.228,556.048,375.062,378.342,338.888,302.033,256.681,260.822,231.089,247.054,238.998,290.718,274.971,394.036,240.938,303.106
437.869,522.425,470.251,514.996,357.677,379.117,334.373,306.801,249.356,254.405,222.54,247.422,239.352,291.779,270.241,389.003,235.732,268.585
373.109,442.101,408.128,433.298,323.468,349.466,334.953,302.565,252.361,258.015,223.002,247.849,233.522,279.753,260.79,375.855,223.096,245.796
324.509,379.865,348.626,375.411,292.219,347.063,330.368,302.285,249.274,261.325,225.972,247.538,233.154,274.336,253.947,376.397,216.078,237.448
294.328,343.26,312.323,335.951,275.131,330.153,340.974,311.465,251.883,260.356,234.696,244.705,233.494,265.938,252.145,375.291,214.647,228.603
278.72,308.438,289.029,311.61,268.09,321.661,335.765,305.079,253.8,254.943,230.928,248.769,229.028,264.469,249.346,373.855,209.862,222.474
261.824,299.588,283.601,291.7,253.885,312.008,333.413,315.303,267.706,277.447,238.04,244.951,229.679,266.482,247.926,369.125,204.72,219.947
248.387,277.758,267.486,280.716,253.829,310.387,333.53,320.047,315.913,308.637,237.245,246.786,228.044,266.024,248.304,370.867,205.103,215.953
241.691,272.562,257.753,269.542,247.632,301.444,342.076,354.852,388.415,370.964,254.526,247.752,231.149,266.101,248.098,371.345,206.995,216.366
234.422,258.322,252.831,266.729,248.149,307.247,336.405,366.628,451.174,422.639,260.004,244.811,234.005,265.502,248.382,370.534,202.069,214.859
232.391,264.028,253.56,255.479,241.486,302.767,344.394,377.65,498.548,481.377,272.885,253.95,233.119,264.49,247.105,364.455,206.929,206.72
229.633,255.245,249.745,255.459,242.888,301.123,334.465,385.193,537.613,526.813,275.143,251.26,231.736,263.992,249.217,359.88,204.236,206.685
229.229,249.824,248.167,250.518,246.147,299.149,341.997,396.002,574.863,557.583,276.904,245.226,225.93,262.794,248.252,364.539,205.259,204.863
223.532,248.2,243.979,250.876,243.002,303.499,332.595,380.537,552.048,538.019,268.551,244.045,227.556,263.859,246.239,362.559,201.544,208.937
223.433,245.749,246.078,251.573,242.371,302.601,334.692,381.317,570.643,551.648,273.417,247.576,231.018,264.646,247.737,367.13,203.573,208.125
220.208,245.333,243.57,246.788,241.884,298.791,325.478,378.807,602.119,572.579,270.753,247.094,228.962,259.276,246.87,358.783,200.697,204.877
221.551,244.777,244.107,248.88,245.177,304.233,333.394,366.909,563.898,547.57,263.609,248.458,227.809,264.45,246.873,360.133,202.704,207.401
218.758,242.161,239.43,244.438,243.322,302.329,328.133,347.886,488.098,482.518,254.219,243.26,231.119,263.628,243.931,355.538,201.913,200.135
230.672,250.305,242.492,249.081,238.99,298.258,335.441,326.413,430.348,426.987,240.645,245.807,230.069,262.737,251.676,349.725,201.399,206.049
352.594,338.455,282.934,272.121,243.964,295.127,326.611,316.238,390.952,394.14,237.519,246.698,232.885,269.768,252.333,360.123,231.452,225.123
423.063,462.343,386.325,345.652,257.499,304.564,324.363,317.075,352.028,360.612,232.019,243.569,230.07,271.318,263.56,374.883,242.014,238.389
439.812,504.215,438.998,411.087,281.432,310.274,329.755,309.472,328.969,333.252,230.638,242.575,228.208,279.149,272.17,375.519,237.317,244.247
461.353,533.358,467.763,463.304,317.311,321.949,332.574,301.22,320.004,323.593,226.062,242.497,233.296,277.591,271.397,372.22,255.172,295.904
469.015,590.944,512.584,521.75,353.02,344.061,329.465,301.813,291.622,304.226,226.696,239.295,238.187,297.235,282.071,380.642,253.053,307.096
470.147,623.414,542.835,542.004,373.24,356.358,328.89,308.354,284.598,288.899,222.596,242.595,237.01,302.83,278.389,368.786,245.945,301.227
514.978,680.837,593.442,591.941,401.239,376.456,330.65,301.091,277.446,287.413,225.472,244.484,239.648,309.554,289.06,392.712,257.532,324.571
536.887,755.189,668.451,674.698,449.066,398.632,337.399,302.256,272.28,278.69,225.6,240.852,242.462,320.479,301.699,390.502,262.734,322.137
567.36,797.895,711.337,709.878,469.574,421.139,331.64,295.323,270.204,271.639,225.726,243.384,242.337,326.078,302.259,390.945,266.479,310.284
561.713,802.266,709.088,697.299,475.56,430.718,331.104,308.171,264.789,267.266,226.198,243.741,244.013,328.584,300.475,387.25,252.078,280.008
504.782,706.176,633.698,639.015,451.03,424.141,332.546,303.419,254.589,263.665,223.947,238.304,245.097,317.868,286.614,377.066,231.489,253.91
434.259,621.423,541.056,556.186,399.465,402.556,342.624,294.341,256.561,271.151,218.987,248.24,242.725,301.696,278.596,369.905,224.78,235.301
420.155,582.212,500.539,506.891,373.024,393.867,328.227,295.783,257.506,256.516,219.385,240.464,237.964,295.739,265.422,368.717,215.72,228.814
485.84,622.23,525.66,533.549,385.007,394.233,340.794,302.587,252.609,256.302,220.926,244.335,236.746,303.51,271.52,372.236,219.805,223.912
514.706,659.247,559.934,573.853,410.98,397.112,328.642,299.843,249.33,258.742,219.332,247.613,242.329,302.784,274.063,374.139,221.096,232.965
494.916,663.826,581.864,600.798,416.996,410.282,331.238,300.496,252.091,252.746,219.077,240.403,241.239,311.135,281.245,372.653,213.268,231.826
496.674,613.418,552.074,558.581,391.617,392.526,329.627,297.49,246.807,252.526,217.253,236.608,238.614,293.346,274.005,365.617,215.271,222.384
460.471,581.436,498.288,507.487,364.538,397.828,328.452,297.417,246.922,252.631,215.955,241.998,239.393,294.518,269.069,365.545,217.245,216.571
394.355,524.416,449.868,480.109,354.617,387.677,324.794,293.524,247.107,248.189,220.796,238.45,236.355,294.635,269.393,353.408,213.278,211.462
354.628,518.614,431.191,459.595,354.647,383.119,335.097,298.514,247.224,253.656,222.428,247.557,241.954,292.08,264.6,364.083,209.899,211.46
347.096,495.122,413.047,444.777,350.166,393.546,360.227,311.187,253.298,252.885,224.685,301.038,288.087,307.739,270.223,368.244,214.138,209.409
310.539,446.938,382.399,415.846,353.198,438.033,400.337,322.969,263.469,248.843,222.298,328.84,329.633,323.469,266.797,363.487,206.385,207.094
283.986,429.352,350.65,411.971,373.846,466.344,391.7,343.793,275.5,253.44,220.194,326.231,386.247,354.589,266.217,363.294,204.878,210.115
267.234,426.77,337.36,399.466,390.047,505.566,395.366,360.746,274.194,257.998,223.843,311.885,432.845,384.205,262.777,362.748,211.479,208.315
264.582,403.23,325.323,416.501,452.995,566.023,384.36,366.911,271.931,256.732,225.84,285.399,464.591,443.164,277.556,363.259,217.021,225.378
254.573,360.966,306.278,411.351,503.26,607.474,374.131,360.071,264.183,250.56,226.96,270.182,466.931,531.167,290.12,364.427,210.209,235.153
243.323,340.854,293.278,446.367,572.156,590.258,366.971,347.665,258.841,250.507,229.183,261.99,439.889,655.669,340.946,365.253,208.28,220.898
237.954,353.313,316.675,559.413,605.033,520.436,346.893,335.138,251.006,252.79,231.436,247.628,390.339,711.055,459.659,371.408,207.736,218.611
241.671,374.927,352.313,673.212,608.399,450.145,341.157,320.378,247.035,251.836,232.587,245.849,340.229,709.5,563.241,397.737,209.422,207.049
242.128,400.545,414.778,760.029,524.918,388.853,336.995,312.203,244.443,246.925,231.391,246.363,301.028,602.211,680.681,454.577,209.888,205.168
245.442,410.773,428.518,807.896,479.306,374.683,331.914,305.24,243.298,249.048,231.796,244.66,282.751,526.273,745.547,504.509,216.117,208.591
240.166,436.464,479.191,814.156,422.896,347.059,328.901,304.622,244.556,245.935,233.681,244.606,275.296,448.424,772.75,581.628,217.124,204.755
243.304,473.041,550,735.266,374.803,336.922,330.17,300.472,243.961,248.891,229.238,240.234,259.712,391.917,724.687,725.562,216.677,206.648
240.519,535.217,609.062,618.854,336.035,323.362,329.723,305.323,238.896,250.084,236.481,238.63,255.203,353.875,592.024,816.553,248.732,205.791
273.046,596.418,545.796,507.312,311.307,324.102,329.598,299.673,239.109,249.329,232.723,240.903,247.517,327.352,478.33,708.761,287.638,210.881
299.444,578.313,462.518,447.463,289.26,319.235,327.603,302.201,238.639,242.688,238.76,244.266,248.501,317.643,416.486,610.794,280.355,212.834
320.718,504.837,384.782,399.467,288.025,316.26,329.82,301.425,236.033,241.795,230.802,245.269,242.275,302.909,368.721,546.194,263.989,228.556
326.654,448.755,348.611,373.081,277.932,310.049,331.948,296.575,237.124,246.868,232.798,243.715,246.401,298.261,346.216,498.683,254.101,240.703
351.549,411.627,325.788,354.793,275.71,313.184,332.668,295.244,237.143,248.22,232.67,243.148,240.358,294.325,324.964,473.373,255.151,281.049
335.995,367.086,307.385,335.422,269.452,308.11,330.415,302.024,231.772,244.325,230.157,239.328,240.728,294.515,319.092,465.259,257.968,313.859
331.764,333.715,283.276,316.555,264.657,304.427,333.063,298.614,237.972,244.354,230.679,241.276,243,292.882,336.79,453.595,263.764,318.83
