T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
170.773,172.444,180.539,221.459,259.453,319.848,303.944,251.54,320.925,282.502,272.383,277.613,230.629,199.434,183.3,180.187,176.797,163.335
173.559,171.476,182.151,224.779,262.527,322.375,307.146,255.003,328.619,286.482,278.064,275.648,232.689,197.595,180.256,177.311,175.913,161.227
170.818,169.626,180.895,223.882,261.289,317.95,308.295,258.394,357.438,291.971,280.727,274.088,226.417,201.979,178.63,175.647,174.532,161.054
169.69,173.531,182.932,218.313,256.241,314.792,310.774,257.011,368.972,300.682,289.387,272.642,225.934,200.44,177.292,173.974,174.267,159.01
170.204,171.165,183.471,224.099,263.746,319.713,306.535,262.612,396.784,304.402,286.742,274.771,229.914,201.689,178.431,174.463,171.771,159.902
171.919,171.692,182.094,223.406,262.161,315.463,312.01,266.851,378.659,290.72,282.175,266.93,232.374,199.572,179.244,173.687,170.64,159.89
170.808,171.434,185.154,224.583,270.878,311.416,309.396,264.274,339.809,270.219,271.034,270.226,228.52,203.924,179.147,172.932,170.902,161.35
169.153,171.724,179.428,221.604,266.167,321.067,308.962,257.513,310.822,248.868,265.414,274.364,225.295,202.669,179.561,172.304,170.997,159.02
167.286,170.415,181.123,225.737,261.556,320.449,303.778,258.09,290.972,237.328,258.521,270.314,229.348,197.601,175.983,172.294,171.537,161.824
172.879,169.731,183.456,226.025,270.347,316.959,307.226,253.689,277.163,220.746,258.252,276.836,229.576,202.663,179.282,170.47,169.866,160.208
168.14,170.918,180.748,233.611,279.051,320.287,312.701,255.152,259.909,222.698,259.58,266.801,229.096,201.296,178.666,170.166,167.445,158.626
167.663,169.798,182.504,254.912,361.341,316.375,306.285,251.473,254.428,214.63,254.291,267.648,231.328,229.54,177.034,171.444,168.404,159.57
174.505,171.11,187.456,295.486,412.408,320.845,305.872,253.008,250.284,210.489,255.914,275.199,229.245,242.372,189.758,173.439,172.792,159.697
181.278,172.629,195.625,374.841,402.08,317.012,307.833,245.88,242.45,211.682,254.558,275.34,228.129,238.372,199.943,180.787,170.478,158.584
180.296,173.99,206.708,418.804,339.058,320.484,304.767,249.511,235.544,203.437,254.515,271.525,227.606,219.065,212.962,183.673,170.393,157.888
175.054,175.635,217.7,372.892,308.997,320.481,304.021,247.582,239.447,203.508,255.42,272.381,224.71,212.015,205.918,199.512,176.185,158.264
178.862,190.113,223.757,311.998,299.096,317.018,305.222,247.316,233.025,201.598,252.853,273.243,230.573,208.466,196.664,205.981,188.44,157.518
184.126,195.519,210.009,278.406,283.537,316.114,305.167,247.92,232.009,198.026,249.503,266.745,222.391,206.628,190.252,189.213,197.969,167.87
189.911,189.158,196.443,255.316,284.039,313.328,302.58,249.636,236.853,194.83,253.699,270.103,225.298,204.361,182.824,185.855,191.799,162.812
187.325,184.298,192.336,245.938,272.72,314.22,300.691,246.934,228.978,195.305,250.712,268.352,225.25,201.408,182.532,175.951,185.596,165.885
197.34,182.248,191.809,249.703,270.228,311.683,307.698,243.396,227.778,198.061,243.724,266.006,225.328,202.314,183.189,177.222,181.18,167.068
201.071,184.871,192.425,244.465,264.791,322.208,305.319,240.769,227.256,194.714,250.911,269.408,226.422,202.282,181.794,178.014,178.193,166.252
208.313,184.921,189.105,246.518,263.601,314.827,301.854,241.939,226.028,195.543,253.301,271.381,225.955,205.205,177.061,173.694,176.051,168.67
197.771,179.574,185.386,238.654,262.865,318.449,306.274,240.809,230.784,195.929,248.377,273.437,225.096,197.968,176.996,172.636,174.226,167.071
197.695,180.192,190.8,233.311,268.006,317.519,311.024,238.489,231,200.412,248.469,268.842,226.121,198.194,178.256,168.755,170.717,163.604
210.461,181.229,185.316,232.336,262.232,316.519,301.962,236.904,236.472,206.315,254.38,265.965,224.525,195.988,180.221,168.818,173.553,162.386
